image_url,category
assets/menu/hot_snacks.jpg,food
assets/menu/cold_snacks.jpg,food
assets/menu/salads.jpg,food
assets/menu/soups_burgers.jpg,food
assets/menu/hot_dishes.jpg,food
assets/menu/grill_menu.jpg,food
assets/menu/side_dishes_sauces_bread.jpg,food
assets/menu/desserts.jpg,food
assets/menu/draft_beer_1.jpg,bar
assets/menu/draft_beer_2.jpg,bar
assets/menu/classic_cocktails.jpg,bar
assets/menu/signature_cocktails.jpg,bar
assets/menu/shots_sets.jpg,bar
assets/menu/tinctures_1.jpg,bar
assets/menu/irish_whiskey.jpg,bar
assets/menu/whiskey_wales_japan_islay.jpg,bar
assets/menu/bourbon_menu.jpg,bar
assets/menu/cognac_liqueurs_tequila.jpg,bar
assets/menu/port_wine_rum.jpg,bar
assets/menu/red_wines.jpg,bar
assets/menu/white_wines.jpg,bar
assets/menu/sparkling_wines_vermouth.jpg,bar
assets/menu/tea.jpg,non_alcoholic
assets/menu/hot_drinks.jpg,non_alcoholic
assets/menu/tinctures_2_drinks.jpg,non_alcoholic
